,Source (B)
2010,"https://www.ted.com/talks/ann_morgan_my_year_reading_a_book_from_every_country_in_the_world
"
2015,"https://www.ted.com/talks/chieko_asakawa_how_new_technology_helps_blind_people_explore_the_world
"
2016,"https://www.ted.com/talks/guillaume_nery_the_exhilarating_peace_of_freediving
"
2018,"https://www.ted.com/talks/danit_peleg_forget_shopping_soon_you_ll_download_your_new_clothes
"
2035,"https://www.ted.com/talks/melvin_russell_i_love_being_a_police_officer_but_we_need_reform
"
2060,"https://www.ted.com/talks/shonda_rhimes_my_year_of_saying_yes_to_everything
"
2063,"https://www.ted.com/talks/al_gore_the_case_for_optimism_on_climate_change
"
2069,"https://www.ted.com/talks/magda_sayeg_how_yarn_bombing_grew_into_a_worldwide_movement
"
2072,"https://www.ted.com/talks/travis_kalanick_uber_s_plan_to_get_more_people_into_fewer_cars
"
2079,"https://www.ted.com/talks/joe_gebbia_how_airbnb_designs_for_trust
"
2080,"https://www.ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator
"
2088,"https://www.ted.com/talks/alex_kipman_the_dawn_of_the_age_of_holograms
"
2089,"https://www.ted.com/talks/angelica_dass_the_beauty_of_human_skin_in_every_color
"
2092,"https://www.ted.com/talks/knut_haanaes_two_reasons_companies_fail_and_how_to_avoid_them
"
2099,"https://www.ted.com/talks/linus_torvalds_the_mind_behind_linux
"
2105,"https://www.ted.com/talks/christiana_figueres_the_inside_story_of_the_paris_climate_agreement
"
2120,"https://www.ted.com/talks/michael_bodekaer_this_virtual_lab_will_revolutionize_science_class
"
2138,"https://www.ted.com/talks/stephen_wilkes_the_passing_of_time_caught_in_a_single_photo
"
2140,"https://www.ted.com/talks/amit_sood_every_piece_of_art_you_ve_ever_wanted_to_see_up_close_and_searchable
"
2149,"https://www.ted.com/talks/gill_hicks_i_survived_a_terrorist_attack_here_s_what_i_learned
"
2162,"https://www.ted.com/talks/elise_roy_when_we_design_for_disability_we_all_benefit
"
2163,"https://www.ted.com/talks/leila_hoteit_3_lessons_on_success_from_an_arab_businesswoman
"
2167,"https://www.ted.com/talks/adam_savage_my_love_letter_to_cosplay
"
2192,"https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe
"
2208,"https://www.ted.com/talks/camille_a_brown_a_visual_history_of_social_dance_in_25_moves
"
2211,"https://www.ted.com/talks/helen_fisher_technology_hasn_t_changed_love_here_s_why
"
2221,"https://www.ted.com/talks/jim_hemerling_5_ways_to_lead_in_an_era_of_constant_change
"
2239,"https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office
"
2249,"https://www.ted.com/talks/sandi_toksvig_a_political_party_for_women_s_equality
"
2265,"https://www.ted.com/talks/dena_simmons_how_students_of_color_confront_impostor_syndrome
"
2266,"https://www.ted.com/talks/laura_vanderkam_how_to_gain_control_of_your_free_time
"
2271,"https://www.ted.com/talks/james_beacham_how_we_explore_unanswered_questions_in_physics
"
2276,"https://www.ted.com/talks/mandy_len_catron_a_better_way_to_talk_about_love
"
2280,"https://www.ted.com/talks/sisonke_msimang_if_a_story_moves_you_act_on_it
"
2283,"https://www.ted.com/talks/emily_parsons_lord_art_made_of_the_air_we_breathe
"
2289,"https://www.ted.com/talks/deepika_kurup_a_young_scientist_s_quest_for_clean_water
"
2290,"https://www.ted.com/talks/sarah_parcak_help_discover_ancient_ruins_before_it_s_too_late
"
2301,"https://www.ted.com/talks/rodrigo_y_gabriela_an_electrifying_acoustic_guitar_performance
"
2316,"https://www.ted.com/talks/carrie_poppy_a_scientific_approach_to_the_paranormal
"
2326,"https://www.ted.com/talks/dan_bell_inside_america_s_dead_shopping_malls
"
2328,"https://www.ted.com/talks/michele_l_sullivan_asking_for_help_is_a_strength_not_a_weakness
"
2356,"https://www.ted.com/talks/serena_williams_gayle_king_on_tennis_love_and_motherhood
"
2367,"https://www.ted.com/talks/shah_rukh_khan_thoughts_on_humanity_fame_and_love
"
2379,"https://www.ted.com/talks/garry_kasparov_don_t_fear_intelligent_machines_work_with_them
"
2390,"https://www.ted.com/talks/richard_browning_how_i_built_a_jet_suit
"
2393,"https://www.ted.com/talks/sofi_tukker_awoo
"
2397,"https://www.ted.com/talks/sinead_burke_why_design_should_include_everyone
"
2404,"https://www.ted.com/talks/adam_alter_why_our_screens_make_us_less_happy
"
2405,"https://www.ted.com/talks/kate_marvel_can_clouds_buy_us_more_time_to_solve_climate_change
"
2415,"https://www.ted.com/talks/marc_raibert_meet_spot_the_robot_dog_that_can_run_hop_and_open_doors
"
2416,"https://www.ted.com/talks/titus_kaphar_can_art_amend_history
"
2423,"https://www.ted.com/talks/david_baron_you_owe_it_to_yourself_to_experience_a_total_solar_eclipse
"
2433,"https://www.ted.com/talks/anika_paulson_how_i_found_myself_through_music
"
2436,"https://www.ted.com/talks/david_whyte_a_lyrical_bridge_between_past_present_and_future
"
2439,"https://www.ted.com/talks/laolu_senbanjo_the_sacred_art_of_the_ori
"
2460,"https://www.ted.com/talks/jun_wang_how_digital_dna_could_help_you_make_better_health_choices
"
